[103;30mDescription Hash[0m: [102;30me11593e5f2098280b484e61c5c57d3df[0m
[103;30mTerminal[0m:
===== ========== ========= ======== ====
Epoch Train Loss Train Acc Test Acc Flag
----- ---------- --------- -------- ----
    0   2.303311  0.099550 0.100600    *
    1   2.235229  0.508483 0.509200    *
    2   2.017993  0.644067 0.647300    *
    3   1.120757  0.782500 0.790600    *
    4   0.572581  0.851350 0.862300    *
    5   0.432266  0.877367 0.885800    *
    6   0.369451  0.891933 0.899300    *
    7   0.330994  0.901500 0.908000    *
    8   0.303078  0.909500 0.916100    *
    9   0.281416  0.916250 0.921400    *
   10   0.263524  0.922000 0.926600    *
   11   0.248200  0.926433 0.930500    *
   12   0.234876  0.930333 0.932900    *
   13   0.222961  0.934017 0.937400    *
   14   0.212215  0.937150 0.940700    *
   15   0.202425  0.939717 0.942600    *
   16   0.193377  0.942550 0.946000    *
   17   0.185113  0.945167 0.947900    *
   18   0.177411  0.947067 0.949800    *
   19   0.170247  0.949317 0.951500    *
   20   0.163541  0.951783 0.953800    *
   21   0.157430  0.953600 0.955000    *
   22   0.151691  0.955050 0.956700    *
   23   0.146263  0.956567 0.957800    *
   24   0.141232  0.958050 0.958900    *
   25   0.136587  0.959617 0.960400    *
   26   0.132211  0.960817 0.961500    *
   27   0.128125  0.961950 0.962200    *
   28   0.124337  0.963083 0.963400    *
   29   0.120759  0.964167 0.964600    *
   30   0.117291  0.965217 0.965400    *
   31   0.114022  0.966017 0.966400    *
   32   0.110944  0.967100 0.967100    *
   33   0.108060  0.968033 0.967900    *
   34   0.105404  0.968600 0.969000    *
   35   0.102883  0.969283 0.969800    *
   36   0.100520  0.969983 0.969800    *
   37   0.098157  0.970733 0.970600    *
   38   0.096011  0.971450 0.971800    *
   39   0.093969  0.972283 0.972200    *
   40   0.091970  0.972900 0.972800    *
   41   0.090158  0.973367 0.973400    *
   42   0.088362  0.973883 0.974100    *
   43   0.086703  0.974350 0.974300    *
   44   0.085062  0.974650 0.974500    *
   45   0.083561  0.975050 0.974600    *
   46   0.082065  0.975550 0.975000    *
   47   0.080662  0.976000 0.975400    *
   48   0.079308  0.976300 0.975600    *
   49   0.078001  0.976517 0.975900    *
   50   0.076744  0.977067 0.975900    *
   51   0.075533  0.977433 0.976300    *
   52   0.074306  0.978017 0.976700    *
   53   0.073377  0.978283 0.976800    *
   54   0.072350  0.978583 0.976800    *
   55   0.071299  0.978817 0.976800    *
   56   0.070403  0.978983 0.976700    *
   57   0.069412  0.979200 0.976900    *
   58   0.068467  0.979517 0.977300    *
   59   0.067514  0.979867 0.977400    *
   60   0.066687  0.980217 0.977300    *
   61   0.065811  0.980500 0.977300    *
   62   0.065012  0.980800 0.977500    *
   63   0.064176  0.980983 0.977600    *
   64   0.063386  0.981217 0.977700    *
   65   0.062671  0.981483 0.978000    *
   66   0.061880  0.981700 0.977900    *
   67   0.061115  0.981817 0.978100    *
   68   0.060434  0.982017 0.978300    *
   69   0.059835  0.982167 0.978700    *
   70   0.059172  0.982350 0.978700    *
   71   0.058555  0.982583 0.978800    *
   72   0.057941  0.982733 0.978900    *
   73   0.057302  0.982950 0.979000    *
   74   0.056717  0.983117 0.979000    *
   75   0.056096  0.983417 0.979100    *
   76   0.055507  0.983550 0.979500    *
   77   0.054942  0.983883 0.979700    *
   78   0.054402  0.983983 0.979900    *
   79   0.053860  0.984100 0.980400    *
   80   0.053332  0.984300 0.980500    *
   81   0.052833  0.984450 0.980400    *
   82   0.052349  0.984583 0.980600    *
   83   0.051826  0.984767 0.981300    *
   84   0.051372  0.984883 0.981400    *
   85   0.050879  0.984967 0.981400    *
   86   0.050433  0.985050 0.981400    *
   87   0.049977  0.985100 0.981700    *
   88   0.049526  0.985200 0.981800    *
   89   0.049101  0.985400 0.981900    *
   90   0.048680  0.985450 0.982100    *
   91   0.048257  0.985550 0.982200    *
   92   0.047837  0.985700 0.982300    *
   93   0.047410  0.985800 0.982500    *
   94   0.046995  0.985917 0.982600    *
   95   0.046554  0.986083 0.982700    *
   96   0.046135  0.986200 0.982800    *
   97   0.045754  0.986283 0.982800    *
   98   0.045326  0.986450 0.982900    *
   99   0.044940  0.986517 0.983000    *
  100   0.044547  0.986667 0.983200    *
----- ---------- --------- -------- ----
Train Loss: 0.044547
 Train Acc: 0.986667
  Test Acc: 0.983200
