[103;30mDescription Hash[0m: [102;30m40261a8b0dd766e718dcf0dfd7e708bb[0m
[103;30mTerminal[0m:
===== ========== ========= ======== ====
Epoch Train Loss Train Acc Test Acc Flag
----- ---------- --------- -------- ----
    0   2.302749  0.099783 0.099500    *
    1   2.300944  0.112367 0.113500    *
    2   2.300686  0.112367 0.113500     
    3   2.300478  0.112367 0.113400     
    4   2.300299  0.112433 0.113400    *
    5   2.300099  0.112467 0.113700    *
    6   2.299909  0.112633 0.113800    *
    7   2.299711  0.112933 0.112800    *
    8   2.299507  0.113050 0.113000    *
    9   2.299303  0.113383 0.112600    *
   10   2.299094  0.113717 0.112400    *
   11   2.298878  0.113967 0.111900    *
   12   2.298655  0.114183 0.112600    *
   13   2.298435  0.114617 0.112700    *
   14   2.298191  0.114783 0.112300    *
   15   2.297950  0.114883 0.111500    *
   16   2.297699  0.115500 0.111800    *
   17   2.297450  0.115533 0.111900    *
   18   2.297177  0.116067 0.111900    *
   19   2.296897  0.116267 0.111600    *
   20   2.296611  0.117233 0.110900    *
   21   2.296325  0.117283 0.110100    *
   22   2.296015  0.117617 0.111200    *
   23   2.295703  0.117767 0.110300    *
   24   2.295366  0.118617 0.110000    *
   25   2.295010  0.119683 0.108900    *
   26   2.294684  0.120117 0.108200    *
   27   2.294328  0.121067 0.107000    *
   28   2.293912  0.121850 0.106900    *
   29   2.293502  0.122167 0.106400    *
   30   2.293061  0.122667 0.106500    *
   31   2.292618  0.123417 0.106800    *
   32   2.292128  0.124367 0.106000    *
   33   2.291633  0.125083 0.105000    *
   34   2.291099  0.126033 0.103600    *
   35   2.290520  0.127333 0.104200    *
   36   2.289903  0.127950 0.104500    *
   37   2.289278  0.129400 0.104000    *
   38   2.288601  0.129950 0.104400    *
   39   2.287909  0.130333 0.103500    *
   40   2.287184  0.130883 0.103500    *
   41   2.286418  0.131533 0.103000    *
   42   2.285617  0.133000 0.103400    *
   43   2.284723  0.133517 0.102300    *
   44   2.283777  0.135633 0.101800    *
   45   2.282897  0.135950 0.100700    *
   46   2.281800  0.137167 0.102300    *
   47   2.280774  0.138050 0.102000    *
   48   2.279746  0.138050 0.101500    *
   49   2.278396  0.139867 0.100900    *
   50   2.277264  0.141050 0.100200    *
   51   2.275908  0.140983 0.098200     
   52   2.274494  0.142500 0.100700    *
   53   2.273131  0.143183 0.099800    *
   54   2.271678  0.143783 0.101500    *
   55   2.270019  0.144750 0.101600    *
   56   2.268415  0.145950 0.102400    *
   57   2.266663  0.146800 0.103800    *
   58   2.264611  0.149083 0.105200    *
   59   2.262901  0.150267 0.104400    *
   60   2.261174  0.151833 0.105400    *
   61   2.258846  0.153233 0.106000    *
   62   2.256702  0.154317 0.105500    *
   63   2.254383  0.155033 0.105800    *
   64   2.251627  0.157250 0.106200    *
   65   2.249164  0.158333 0.105900    *
   66   2.246290  0.160783 0.106600    *
   67   2.243448  0.161767 0.106400    *
   68   2.240363  0.163317 0.105900    *
   69   2.237017  0.166200 0.106800    *
   70   2.233242  0.168867 0.104700    *
   71   2.229591  0.171733 0.106100    *
   72   2.225030  0.174783 0.104000    *
   73   2.219860  0.178383 0.105600    *
   74   2.214780  0.181133 0.104700    *
   75   2.210460  0.184533 0.103700    *
   76   2.203346  0.189367 0.103000    *
   77   2.198363  0.191400 0.103800    *
   78   2.193118  0.194650 0.104400    *
   79   2.186151  0.199617 0.103800    *
   80   2.181322  0.201367 0.103600    *
   81   2.175253  0.203850 0.103300    *
   82   2.168353  0.208300 0.102500    *
   83   2.164554  0.210050 0.103400    *
   84   2.154449  0.216383 0.103300    *
   85   2.147910  0.220067 0.103800    *
   86   2.139436  0.225000 0.102800    *
   87   2.129858  0.229050 0.102300    *
   88   2.120314  0.233100 0.102900    *
   89   2.109871  0.238867 0.103000    *
   90   2.099617  0.243167 0.101800    *
   91   2.092592  0.247700 0.102400    *
   92   2.079759  0.252433 0.100800    *
   93   2.066312  0.258383 0.100200    *
   94   2.054620  0.263250 0.100800    *
   95   2.048738  0.265517 0.102100    *
   96   2.028932  0.272767 0.101400    *
   97   2.021525  0.275417 0.099200    *
   98   2.010437  0.278333 0.100800    *
   99   2.001861  0.282200 0.101300    *
  100   1.997139  0.283383 0.100100    *
----- ---------- --------- -------- ----
Train Loss: 1.997139
 Train Acc: 0.283383
  Test Acc: 0.100100
