[103;30mDescription Hash[0m: [102;30m35b5655c6c1678c6254bd4beaa651d8d[0m
[103;30mTerminal[0m:
Rotating and flipping randomly ...
===== ========== ========= ======== ====
Epoch Train Loss Train Acc Test Acc Flag
----- ---------- --------- -------- ----
    0   2.303311  0.099517 0.117400    *
    1   2.235468  0.515500 0.237300    *
    2   2.018712  0.643233 0.269400    *
    3   1.111082  0.783200 0.300000    *
    4   0.571449  0.850183 0.312000    *
    5   0.432818  0.877250 0.316600    *
    6   0.369719  0.892100 0.319400    *
    7   0.330943  0.902217 0.319600    *
    8   0.302596  0.910167 0.320300    *
    9   0.280748  0.916733 0.320200    *
   10   0.263199  0.922200 0.321400    *
   11   0.248147  0.926350 0.322300    *
   12   0.234973  0.930283 0.324500    *
   13   0.223134  0.933850 0.327300    *
   14   0.212395  0.936767 0.331000    *
   15   0.202567  0.939733 0.333200    *
   16   0.193554  0.942617 0.335300    *
   17   0.185308  0.945033 0.336500    *
   18   0.177634  0.947200 0.338300    *
   19   0.170487  0.949583 0.339400    *
   20   0.163796  0.951550 0.339500    *
   21   0.157768  0.953517 0.341500    *
   22   0.151952  0.955133 0.342500    *
   23   0.146576  0.956850 0.343600    *
   24   0.141563  0.958250 0.344200    *
   25   0.136696  0.959883 0.344800    *
   26   0.132275  0.961000 0.345000    *
   27   0.128060  0.962217 0.344800    *
   28   0.124166  0.963300 0.344500    *
   29   0.120499  0.964450 0.344800    *
   30   0.117082  0.965433 0.344800    *
   31   0.113861  0.966483 0.345200    *
   32   0.110833  0.967450 0.345500    *
   33   0.107903  0.968250 0.345400    *
   34   0.105208  0.968917 0.345200    *
   35   0.102596  0.969633 0.345700    *
   36   0.100177  0.970433 0.346600    *
   37   0.097924  0.971167 0.345900    *
   38   0.095720  0.971633 0.346200    *
   39   0.093623  0.972433 0.346900    *
   40   0.091671  0.972950 0.346500    *
   41   0.089789  0.973433 0.346100    *
   42   0.088000  0.973933 0.345000    *
   43   0.086374  0.974283 0.344600    *
   44   0.084768  0.974917 0.344500    *
   45   0.083191  0.975333 0.344100    *
   46   0.081732  0.975800 0.344000    *
   47   0.080368  0.976250 0.343900    *
   48   0.079024  0.976717 0.343400    *
   49   0.077681  0.977150 0.343400    *
   50   0.076426  0.977467 0.343800    *
----- ---------- --------- -------- ----
Train Loss: 0.076426
 Train Acc: 0.977467
  Test Acc: 0.343800
