[103;30mDescription Hash[0m: [102;30m89fab824c0b46b2712e0a61b40faa303[0m
[103;30mTerminal[0m:
Rotating and flipping randomly ...
===== ========== ========= ======== ====
Epoch Train Loss Train Acc Test Acc Flag
----- ---------- --------- -------- ----
    0   2.305264  0.098717 0.098000    *
    1   2.280271  0.098717 0.098100     
    2   2.268941  0.108317 0.104500    *
    3   2.257626  0.128983 0.118900    *
    4   2.244093  0.158167 0.144400    *
    5   2.230293  0.186317 0.169400    *
    6   2.215742  0.216883 0.194000    *
    7   2.200029  0.247067 0.221600    *
    8   2.182668  0.275983 0.245100    *
    9   2.163091  0.296617 0.260300    *
   10   2.140680  0.312750 0.272800    *
   11   2.114726  0.321517 0.280400    *
   12   2.084637  0.325583 0.287100    *
   13   2.049731  0.327517 0.289900    *
   14   2.010432  0.333150 0.295000    *
   15   1.967233  0.340400 0.303300    *
   16   1.921407  0.349117 0.315100    *
   17   1.874728  0.359867 0.328500    *
   18   1.829313  0.369850 0.340600    *
   19   1.786888  0.381400 0.350100    *
   20   1.748755  0.391067 0.359700    *
   21   1.716353  0.398250 0.366500    *
   22   1.688380  0.405250 0.372200    *
   23   1.663856  0.412000 0.378800    *
   24   1.643663  0.419183 0.384800    *
   25   1.625367  0.425167 0.389200    *
   26   1.607123  0.431717 0.395300    *
   27   1.589756  0.438667 0.402300    *
   28   1.573275  0.444400 0.408000    *
   29   1.557062  0.451200 0.415700    *
   30   1.540629  0.457433 0.422300    *
   31   1.524691  0.463900 0.428400    *
   32   1.509198  0.470017 0.433500    *
   33   1.494187  0.476317 0.438900    *
   34   1.479853  0.481717 0.446700    *
   35   1.465783  0.488433 0.452700    *
   36   1.451912  0.494350 0.459600    *
   37   1.440083  0.499050 0.465100    *
   38   1.427913  0.505550 0.469700    *
   39   1.416883  0.510917 0.474000    *
   40   1.406294  0.515300 0.480500    *
   41   1.396675  0.519200 0.484400    *
   42   1.387309  0.523233 0.488700    *
   43   1.379007  0.526333 0.491400    *
   44   1.370777  0.529967 0.494800    *
   45   1.363419  0.533000 0.497300    *
   46   1.355947  0.537050 0.500200    *
   47   1.349175  0.539950 0.502900    *
   48   1.342279  0.542283 0.506000    *
   49   1.335942  0.544900 0.508300    *
   50   1.329235  0.547900 0.510800    *
----- ---------- --------- -------- ----
Train Loss: 1.329235
 Train Acc: 0.547900
  Test Acc: 0.510800
